date,assets,assets_avg,assets_ie,assets_ie_avg,assets_tr,equity,tier1,tier1_avg,tier1c,rwa,netintinc,nonintinc,nonintexp,nonintinc_tr,alll_lvl,lllp_lvl,tstock_prchs,dividends,impair_gw,impair_oint,inc_extra,nonintexp_comp,nonintexp_prop,dep_dom,dep_fgn,loans,loans_avg,loans_ci,loans_cld,loans_mfam,loans_nfnr,loans_heloc,loans_sfam,loans_sfam_l1,loans_sfam_l2,loans_cons,loans_cc,loans_consxcc,nchg,nchg_ci,nchg_cld,nchg_mfam,nchg_nfnr,nchg_heloc,nchg_sfam,nchg_sfam_l1,nchg_sfam_l2,nchg_cons,nchg_cc,nchg_consxcc,inc_tr_assets,nim_with_tr_assets_y9,nim_ta
99Q3,3958210427.5,3963269962,3362872317,3362194468.5,418795117,280590341,249321105,247070742,,3133045233,28359566.422,32373655.678,37170665.7,2625307,36563126,3107076.7889,5959820.3444,4840444.3,,,,18076991.989,4831660.2333,1107815388,484809434.5,2013962110,2003942896,501551781,49581017,23354992,155620627.5,58558886,420575600.5,367565449,53010151.5,313049964,104880893,208169071,3103019.6222,858843.92222,1407,-698,20121,8726,194807.65556,,,,1147182.1444,677314.82222,3690902,0.7500567188,0.7155597952
99Q4,4076791886,4035643825.5,3460094983,3429139836.5,426160859,289005651,254063236,253506597.5,,3262220062,28844444.316,35768792.551,42690928.199,3601168,36784106.5,3373736.5147,6926617,4674029.0956,,,202648,19581171.228,5131180.8015,1147597066.5,491657503,2104844646,2069922779,517964421.5,56400830.5,23711161.5,165296110.5,64628149.5,440225805,385460247,54765558,316222000,104380898.5,211841101.5,3745155.1176,1150044.4706,6817,3411.2720588,10736.955882,26726.448529,250705.61765,,,,1043120.7941,868461.55882,3969459,0.7481762538,0.7147420725
00Q1,4249848409.5,4145340219.5,3617131303,3522458486,471044368.5,297229287,260736786,258506597.5,,3364953100,28872695.712,40285917.644,41803667.479,5495115,37007693,3352353.3014,6362190,4782692.1507,,,,21313971.014,5123693.2329,1166954955,530471412.5,2154862156,2124202682,547106056,58229742.5,25880969.5,168228271,67942891,453463496,396511621,56951875,314757231,105297692,209459539,3223085.3562,978953.56164,1571.5753425,-816,20684,31423,171378.32877,,,,1135845.2877,736270.60274,4387232,0.7229917384,0.6965096755
00Q2,4371377819,4310833722.5,3667619675,3642889901.5,497503417,297393122,261042698,260952309,,3433741649,28980207.522,34455857.433,43927624.311,4499546,37768360,4520857.5,4010374,4964256.2,,,,20311486.789,5023530.3778,1173222499.5,543655315.5,2228261103,2182580680.5,565679135.5,60029832.5,26495688,172010280.5,72494540,466694476,406582581,60111895,316928688.5,107989444,208939244.5,3289130.3,1193080.3,-13,6085,29120,25851,166786,,,,1073360,611648,5215875,0.6999385153,0.6722645638
00Q3,4485283720.5,4397191856,3774013245,3693450556,511606843.5,309718062,266641836,262392298.5,,3501696339,29929908.425,37659382.017,43184839.099,4287647,38173548.5,3574110.8011,2931678,5342223.1381,,,,21184759.249,5078443.0884,1166091170.5,566286794,2279550156,2237790612.5,564450443,63277155.5,25907799,172468312,76795733.5,483603884,420896108,62707776,322208478.5,114855556.5,207352922,3410973.9006,1252920.7127,11112,2897,13680,53801,185316,,,,1075707,645786.18785,6356533,0.7117598069,0.6806595983
00Q4,4693463540,4609990225.5,3966158202,3890085179.5,538265958.5,332362590,278723370,274158836,,3568856135,37695622.612,40898894.487,51615719.729,3916674,40312652,8979134.4066,2216065.1392,5485180.3443,,,-46000,23340745.308,6772884.2637,1222617194.5,578925475.5,2397713306,2383375390,586728517.5,67269730,26636336,177373375.5,82557833.5,508881062.5,438376147.5,70504915,351073215.5,130138270,220934945.5,8046008.674,2729724.337,22399,967,20023.820513,67342.062271,571156.81319,,,,1637053.5934,2500804.3553,6457663,0.8512338213,0.8176941982
01Q1,5028347885.5,4879920465.5,3827016085,3916405117.5,555123625.5,362811648,304030491,293282550,261683530,3826658478,35441828.811,43669751.855,53980844.89,7221909.6767,43029068.5,5610892.4247,4311282.3918,5351353.1534,,,-292289,23572159.227,5660155.5753,1293831974.5,558553591,2472027998,2458210099.5,617027416,72898572,26900952,196510610,86191129,529306853,449930137.5,79376715.5,374536883.5,128417303.5,246119580,5192941.3041,1994348.5041,19226.857534,3953,66994.271233,66393,278330.13151,,,2417299,1281899.2548,1138794.1671,6003486.2932,0.7926110028,0.7262788208
01Q2,5162620444,5095890466.5,3907184971,3868127680,565239389.5,365579112,309439731,306888232,248690927,3855542732,37360704.202,38862940.517,52833973.157,3990491,43656875.5,6184581.8202,2502515,5404860.6292,,,-256082,22917097.584,5541600.5618,1324206433.5,540287216.5,2498418741,2496909524,609700629.5,78411711.5,26917591,207256488,90068615,539616340,459102063,80514277,379856273,116972271.5,262884001.5,5830555.9775,2499165,19908,-2648,71804,69312,345540,,,2527128.9775,1442142,1084986.9775,6018226,0.8427162384,0.733153596
01Q3,5297783134,5224121653.5,3947354485,3942579425.5,599382902,392532144,313161976,314848445,264739593,3967124793,38608018.511,41215215.022,56144432.122,4076348.2667,45775539.5,8768992.5556,3572071,5556888.0333,,,30000,22535657.833,5919122.4667,1372877238,553872989.5,2525876604,2523204436,595801347,82387562.5,27802678,211279592.5,96433037,536769494,455168637.5,81600856.5,405038118,131191108,273847010,7480910.6111,2842621.0111,65991.755556,6003.7333333,109496.06667,61019.211111,981095.22222,,,2976686.0667,1613458.7556,1363227.3111,5877435.7556,0.8500294746,0.7390336801
01Q4,5356628037,5298602751,4014762743,3981545287,590768451.5,388412009,315848181,314544120.5,264487823,3940303470,40654539.632,44208230.309,57777877.824,1818500,48247059.5,11553265.313,4616832.3382,5764447.0478,,,60123.75,23375783.496,6600103.1691,1390274216.5,552399938,2477104970,2507308741.5,569353493,82645429,28006790.5,213218433.5,101796472.5,528623720.5,447946709.5,80677011,409488824,133069986,276418838,9190600.9669,4261748.25,65228,6782,167561,129975.77574,457634.00368,,,3253777.9816,1677969.739,1598655.2426,5899404,0.8891458889,0.7672690621
02Q1,5355855632,5351919418.5,4008720883,4011453892.5,570199271.5,395950874,323664131,319623990,268336456,3881951862,41133515.597,44530796.63,53170492.899,4126726,50123007.5,7871310.2521,2641535.3178,5351577.6932,146631,816665,-345559.2192,23524657.118,5702330.9616,1416108451,519936219,2457294019,2471338918,546901938,77379968,27092701.5,211724435.5,110923680.5,530231231,448692819,81538412,417973144.5,137854041.5,280119103,7307025.7973,2748996.1425,31873.591781,2015,112285.09041,65803.120548,342863.50411,222042,120699,3421928.1233,1858704.9726,1570234.1507,5341410,0.8977876353,0.7685750173
02Q2,5406955579,5379248754.5,4022593875,4015657379,618914474.5,407704453,325613404,324638767.5,265820356,3882700393,40962564,43608071,53756900,2715959,50281557.5,8240278,2743727,5478215,,866604,-295004,23298754,5856348,1432673605.5,521115086,2467243667,2449153799,526673348.5,77047924,27741447,212237783,121313562.5,531621656,452356296,79265360,424737218.5,141145908.5,283591310,8003348,3350942,25806,5401,76553,68305,333680,225381,108299,3374386,1973193,1404819,5683548,0.8838478568,0.7614922802
02Q3,5458772651,5432864115,4051664489,4037129182,663672735.5,410879435,325201922,325407663,267059326,3862077297,39901123,32089669,45239019,1683607,50070332,9021790,4009379,5608182,,958734,1853502,21414734,5971588,1449425104,522144834.5,2507368937,2471205373,507491066.5,78225592,27959155,212009666.5,131815535.5,562441211,485542394.5,76898816.5,440581617.5,149444822,291136795.5,8473141,4061992,42786,2948,90764,62648,318158,207495,110663,3541106,1938873,1591596,5677173,0.8488152383,0.7344399226
02Q4,5640030087,5549283105.5,4226667777,4139869382,671006277.5,421615081,331397057,328355249.5,275730557,3989810497,40892528.202,42870719.563,56875245.081,1709527,51041077,9227567,2018706,6118519.989,8574.2095588,913920.51838,-650990,23167483.717,6200607.6581,1492147653,526322416.5,2613420027,2570071498.5,498103924,78470656,30481870,214281694.5,141365541.5,632733970.5,560605252.5,72128718,459545640,158768953.5,300776686.5,8270122.1654,3241681,31952,13766,136995.84926,75479,333034.54412,235167.54412,97867,3577153.7721,1857186,1719967.7721,5089220,0.8500017688,0.7368974951
03Q1,5757602234,5697969263,4272391458,4249529617.5,668596624.5,427818857,337635090,334516073.5,280994134,4032560289,42071371,42786930,52982206,3995990,51829032,6876299,3284463,5938300,127000,986233,48107,24722127,6246867,1538881572,545477149.5,2656599269,2626889391,491142491,77597841,33580084.5,218811734,152303507.5,699069571.5,632087549.5,66982022,465226488,156221308,309005180,7229675,2547903,16676,1760,70572,82464,344895,237157,107738,3645600,1940808,1704792,5278648,0.8554349549,0.7383572824
03Q2,5958508921,5858055577.5,4448353870,4360372664,689753177.5,444847990,352858802,345246946,293889217,4223667150,42652872,45567863,55384288,3794150,51807263.5,6621028,1908682,7910002,,1025352,51833,25602001,6455781,1581797107,551456959,2754132314,2689089544,480071594,77962105.5,34024686,221269086.5,164327732,748026523,682728703.5,65297819.5,467320742.5,151784463,315536279.5,6925919,2314145,27425,1239,114088,89170,323213,214442,108771,3600616,1924446,1676170,5280207,0.8445902803,0.7281063048
03Q3,6182531496,6075959699.5,4630876411,4544814691,711052884,452006770,366143334,360016257.5,300093543,4246729058,43425769.178,46728640.211,55584338.267,2774499,51253419.5,5412434.1444,1727988,7469546.7444,-1000,763510.28889,62922,25013003.894,6390871.05,1619801032,564331240.5,2807121321,2795209281,467245409,78530498,34510283,221886390.5,177694655,797035971.5,731497550,65538421.5,482128127.5,156485798,325642329.5,6572013.6167,1924458,38537,3454.9888889,105866.29444,63703,352677.97778,235964.97778,116713,3589827.2222,1864679.0778,1725148.1444,5028974,0.8262340814,0.714714569
03Q4,6213004486.5,6196980926.5,4649927304,4640619503,749669174.5,460554977,372849860,369517034.5,306865968,4311195843,43075934.588,49856365.449,57764670.096,2478584,50422368,5847965.2463,2157583,8038684.0846,1328,915796,770388,25187797.059,6787881.4669,1635552383,590858629,2829130924,2779970829,456175631,79047202.5,35246550,222143772,194804113.5,789143996,726382270.5,62761725.5,511669789,179595164,332074625,7154402.7978,1698625.6691,25659,-191,93082.746324,139211,964804.88603,767175.88603,197629,3958791.4963,2308629.9007,1650161.5956,5161875,0.7991396596,0.6951116213
04Q1,6602102282,6344175261,4941352669,4746215845.5,787599479,493717282,393293309,379519776.5,330220242,4584282252,46422628,50939944,59982145,3973018,51100855,5724940,3626031,8161602,,1146800,-135365,27862233,6735058,1665438729.5,603324115.5,2973658613,2924059394,440581969.5,80692283,34209528,221598283.5,215788157.5,789662556.5,727019812.5,62642744,548456755.5,203420208,345036547.5,6888376,1066193,8611,1793,44219,96528,495570,357914,137656,4957829,2940685,2017144,5876782,0.8388900836,0.7317362161
04Q2,6899486147,6793048909,5192450853,5069348114.5,799815306.5,524086190,398769027,396249677.5,335478485,4742569158,49110009.044,56208002.044,76543913.244,2987718.3333,52574178,5230904.8444,3622035,8287817.3556,9273.7111111,969115.48889,128947,27872757,6782374.6889,1739403933,652334360.5,3092084257,3045625839.5,441605042.5,86300169,36308152,230825806.5,240361490,859132381.5,793310857,65821524.5,573423599,211016751.5,362406847.5,6311596.2667,742348.68889,45953.777778,5013,27471.4,90741.6,423154.71111,337703.73333,85450.977778,4866834.7333,2973870,1892964.7333,5942873.4889,0.8367463218,0.7229450237
04Q3,7248743430.5,7179919688.5,5414892564,5366098794.5,831531217,602759226,417026235,412062295.5,352031451,4967781050,50290616.32,49555447.442,63945689.061,1280258,53252043.5,5730369.3481,2142104.5193,8712321.1602,,1828252.5083,85197,27403806,7122005.0663,1843415880,668628087.5,3283125863,3224606337,448761148.5,97935839.5,41182913,250800962.5,274008919,918828057.5,851553379,67274678.5,617304249,233582372.5,383721876.5,6170608.4641,483574.47514,8983.878453,6257.0331492,89474.038674,79684.834254,434036.29834,348490.9116,85545.38674,4897104.2265,2903882,1993222.2265,6151594,0.8114491544,0.7004342458
04Q4,7682391318.5,7407497336,5618579715,5493529558,906521795,635094889,429666005,421639900,363445756,5067831907,52321850.454,59926146.469,74215911.582,2689670.8132,52041627.5,6169748.7509,3586467.9487,10308541.604,39000,1909556.337,146544,30124001.927,7740529.4286,1907857386,678594923,3417499829,3353789703.5,453017952.5,101102028.5,43052055.5,249884514.5,296666873.5,955757278.5,886398418,69358860.5,648092306,262298896.5,385793409.5,7388611.5311,670721.86447,65474.615385,2570,93125.882784,86584.673993,477238.28938,394463.18315,82775.106227,5782536.5311,3322533.696,2460002.8352,8735592.4872,0.8175223536,0.706336406
05Q1,7931581589,7797192984.5,5883687598,5751133656.5,965880015,635006545,437585700,433625852.5,368545484,5173678328,49440083,58512346,67577725,5920094,50724308,5348096,6163696,10022357,,1568395,460478,31015229,7303251,1944493903,706356174,3451160622,3403498491,471199044,108204987.5,44232305,259130469,316472790,972755681.5,900124687,72630994.5,662843858.5,267769468,395074390.5,6232108,229605,13869,3112,29737,87423,437720,359665,78055,5212366,3121535,2090831,8297842,0.7360426138,0.6340754051
05Q2,8152761109,8045121146.5,6091104239,5990025195,1003893973,655336927,453590205,445794627.5,379117736,5352522348,49428917,55234002,67066928,1760062,49792803,5534356,4429861,9309569,1,1638130,1629879,29225065,7226362,1959297762,719434810,3552809126,3474067018,490717021.5,116289485.5,44916043,263796873.5,334454782.5,995452740.5,915519739,79933001.5,668156661.5,267065156,401091505.5,5738153,299859,-8422,4221,21788,89738,366082,301466,64616,4937400,3066153,1871247,8877387,0.706741325,0.61439618
05Q3,8302810273,8225526785.5,6260990920,6176234676,1029112087.5,659502542,468163220,463949505,393789743,5559356178,50846796,62666345,69916511,5606593,50964991,8591219,8336172,9584939,1,1550801,2082231,32399928,6945450,1975537151.5,733570198.5,3674192062,3613576991,500444839,122390644,42194159.5,266196460.5,344334697.5,1022584494,932317477,90267017,715234516,289446748.5,425787767.5,7848433,235624,7890,1045,38804,96035,376116,326108,50008,6700462,3366609,3333853,8886700,0.7056814567,0.6181585365
05Q4,8521738001,8417649593,6396762599,6339248678,1039194044,668487299,476953382,473423157.5,401556180,5659240525,52717970.956,61007979.287,71894389.831,2944126.0588,51097201,8302773.9706,7584425.0662,11489618.044,50174,1471731.3382,2290781,31664943.566,7535297.625,2045218468.5,747594733,3775135088,3747047432.5,518526310,130120283,42638582,272772061.5,344265081.5,1080760690.5,976244179.5,104516511,739921655.5,304124133,435797522.5,9006338.0074,654143.77206,554.60294118,971.91176471,26777.926471,104146.76471,378473.81618,311957.70588,66516.110294,7396838.9412,4771696,2625142.9412,10391666,0.7144864159,0.6262789912
06Q1,8784373244.5,8679954991.5,6622165267,6526468255,1073450599,698534751,484691637,479308687,403917357,5813117663,52683747,66676423,74017677,6991139,51228008,5843065,6365252,10105837,,1605430,95974,36635345,7434942,2161102348,787705667.5,3937060833,3902812611.5,548482796.5,141566068,46219618.5,279330580.5,343777669,1142702239.5,1020693577,122008662.5,761973220.5,303915946.5,458057274,5579888,307191,7135,6289,17993,141597,467061,392736,74325,4533782,2548542,1985240,11029426,0.6932145989,0.6069587579
06Q2,9164370084.5,9000405741,6886728600,6755724969.5,1150355427.5,703198103,498647480,491812641.5,415762891,5980696214,52855452.955,66316429.562,72504084.506,5281984,51271162.5,5889019.3371,4854547,11756390.135,,1616427.3708,265483,34861096.416,7341767.1011,2213193582.5,845769931,4056537891,4001555159,559151407,151496483,45572860,284228409.5,355673312.5,1174516481,1042161186,132355295,763188358.5,295316494.5,467871864,6178308.9888,434349.98876,10040,4026,10576,137184,559003,471211,87792,4897597,2920653,1976944,12798575,0.6685418096,0.5872563357
06Q3,9305854961.5,9234511374,6992135877,6939533292.5,1208919473,725384752,520973922,509033379.5,430798167,6144121603,53014121.578,66748012.067,70825272.839,5946331,51027953.5,7210228.1667,4825262,10142697.794,,1551053,495696,33869255.878,7425397.8667,2207752916.5,887452052,4101886008,4091625862,569474383,157537299.5,40003814,289556686,367399480.5,1176210345,1035659642.5,140550702.5,773522165,304143593,469378572,7124624.2167,529958.86111,17274,-4860,22248,170982.33889,537778.41111,426830.41111,110948,5685317.6056,3249016.0333,2436301.5722,11712853,0.650603533,0.5740869163
06Q4,9779180795,9571237009.5,7239371845,7165632740.5,1256469643.5,772572882,541983022,535207708,447554804,6439324867,55535267.412,70364730.342,77889088.257,5525676.2794,52809052.5,10836209.147,5230669.2096,11651035.077,,1658488.3824,5121239,36141524.735,8104760.3272,2318054034,929994967,4397724694,4367871126.5,591049137,169566452.5,48953488,313974461,378154000.5,1269364744.5,1116052137,153312607.5,804947465.5,320853002.5,484094463,8464263.8199,913218.32721,28592,3706.75,26963.25,243002.86397,604668.86029,452074.23529,152594.625,6352242.7684,3524628.375,2827614.3934,13565812.875,0.6593991011,0.5802308245
07Q1,9947284484.5,9754527737.5,7345235791,7232043706.5,1354036736.5,770534999,531149095,531922843.5,436383183,6506327748,56050566.595,70967948.326,78073768.825,8682388.2466,54638782,8993018.3233,11504454.493,11889604.652,,1640919.8274,-138403,38508590.282,7802468.9644,2366509962.5,960829378.5,4416893995,4382456274.5,615140027,174228514.5,52585500,321396666,369380657.5,1285208186.5,1129612578.5,155595608,820678640,319141037.5,501537602.5,8359109.5178,681124.52329,32707.671233,-62,41093.273973,301656.80822,779831.87671,531436.0274,248395.84932,6340185.2959,3542872.9452,2797312.3507,14464164.123,0.6528073778,0.5746107664
07Q2,10442103525,10187392574,7627602869,7486419330,1497332187.5,775192133,542126869,536637982,441309709,6756548583,57313740,75327865,78993296,7204806,55905678,10213246,9220935,12478600,,1664059,11284,38911397,7875233,2371904643.5,1025572943,4574913593,4512947691,632407435.5,177829845,52346841.5,325145888.5,371308009,1329879360.5,1166775998.5,163103362,830056304.5,313236035.5,516820269,8576588,801303,48118,3841,55173,387094,904037,537676,366361,6224239,3449678,2774561,15398774,0.6379711181,0.5625947914
07Q3,10956184161,10726439029,7986535809,7828977249,1585779324.5,807804062,554152928,550406735.5,449853610,7033564087,59417300.194,54569309.261,74725196.4,-3700378,59755122.5,15493547,6817783.0667,12040616.472,881100,1846014,-900390,33009108.072,7917926.0667,2416095682.5,1129897438,4761511855,4668360782.5,669460006,184004105,51949984.5,332201056.5,378660833,1351894410,1180488314,171406096,860455794.5,324116509,536339285.5,10260782,1098561,110076,3850,45755,540413,1123371,727882,395489,7004398,3633253,3371145,16190918,0.6311081941,0.5539331369
07Q4,11170975602,11013555213,8142671826,8024838530.5,1613842806,794994773,527275632,536963259,405417429,7131155189,63236179.618,37014595.077,90991156.243,-28786404,68816997.5,26926298.169,4625802,14026666.827,3332866,2950859.0625,-268179,38671581.754,8732595.3493,2479171620,1220833484.5,4906601603,4851617167.5,709741841,186228067.5,49713842,339477595,388298148.5,1352494911,1179543549,172951362,896422018.5,341823335,554598683.5,13465054.092,2068481.3529,201279.23897,16645,91002.536765,883850,1814257.3824,991276.69853,822980.68382,8051451.5809,3993211,4058240.5809,17284928,0.6560667109,0.574166819
08Q1,11522748144,11343240960,8215766037,8179426185.5,1719634455,833874072,563544282,546531405.5,404477640,7335328340,65970218,50805915,79996181,-12208839,83402459.5,30166083,2102018,11276759,,2067363,-88594,38256479,8685693,2601176245.5,1247438787,4915212817,4888690713,755676250,196850400,53214580.5,359849767.5,404974338,1329508635,1158575119.5,170933515.5,916210649.5,344337264.5,571873385,16654857,1866997,438480,18663,125328,1622766,3418820,1933957,1484863,8780891,4666248,4114643,17488050,0.6664290724,0.5815817387
08Q2,11539301198,11527800113,8293357436,8253133667.5,1769797476.5,866096538,599411708,578584711,403495188,7391283247,68830201.933,56745001.978,93164389.511,-8154586,97463488.5,35773137.044,236156,11301582,7139680,2039958.5111,-267235,39936846.911,8854917.2444,2649551758,1208992624,4902293969,4898560057.5,763215604.5,196930256.5,54101153.5,362537218,413587929.5,1272132013.5,1105563225.5,166568788,913971637.5,336306436,577665201.5,20782486.978,2204167.8889,1045813.4889,40702,274608.86667,1998713,4754173.3556,2853714.6667,1900458.6889,10080658.822,5528970.3333,4551688.4889,16526721,0.6867272751,0.5970801129
08Q3,11829170798,11680528629,8552903632,8423130534,1714156896,835540818,599315545,599363626.5,403678849,7626072285,69599647,50143232,103462122,-8906760,115233385.5,41347960,2077791,11054881,20259781,1978335,1050768,37571576,9154808,2742638830,1189018119,5188307630,4943921573,780590376.5,201722115.5,70175409.5,370664293,450609374.5,1311687932.5,1141246623,170441309.5,928369416.5,352414161,575955255.5,23893188,2554360,1385559,40321,229351,2412559,5857447,3802617,2054830,10768379,5726723,5041656,16142965,0.6865707171,0.5958604205
08Q4,12202282509,11654336157,8240118219,8454755548,1570645300,901929921,699720066,654767687.5,361003159,7489068831,80175675.333,26385293.667,119175067.67,-26717114.67,134704162.5,59856383.667,503063,10926280.333,29220900.333,3442859.3333,5151626,33820041,9964745.3333,2972384611,1176873538.5,5112731709,5193190165.5,831137789.5,208181676.5,89017205.5,396175411.5,490778512,1373293963.5,1199620164.5,173673799,932691325,372276142.5,560415182.5,29796892.333,4177590.3333,2474308.3333,175918,658354,2796083.3333,6139280,3890328.6667,2248951.3333,12164457.667,6187420.3333,5977037.3333,15239916,0.799725383,0.6879471662
09Q1,13729614920,12397053891,9827379265,8905629447.5,1708256881.5,1103713780,881308444,778323666,443391409,8518032292,77217608,101266902,107800324,21040081,152621885.5,52705122,343369,7625599,1681681,2557522,-29275,50061118,10459222,3006165315.5,1075555276.5,5119271379,5193253440,773126482,190195308.5,88401168,379935604.5,491762400,1333681884.5,1171560636.5,162121248,934763594.5,374448774,560314820.5,32767988,4483929,1598378,83465,317366,3520081,6359008,3826552,2532456,15024833,8870597,6154236,16550463,0.7275149329,0.6228706326
09Q2,13469081630,13599348275,9787647171,9807513218,1967331385,1126752680,898519847,889914145.5,529531066,8313946974,76107506,100871908,114897042,17708968,172360869,54846632,73798,8299642,2398120,2510207,-3731761,52459730,10163412,3085080182,1041425449.5,5002027940,5092621407,749307836.5,185120407,90394764,384133218,499329422.5,1341604014.5,1190001114.5,151602900,941908367,366639778,575268589,41045035,6022965,2251593,148820,559684,4522902,8477250,5642565,2834685,16510840,9841309,6669531,14594537,0.6463567764,0.5596408332
